cgpa,backlogs,internship_count,aptitude_score,communication_score,internship_quality_score,placement_status,college_tier_Tier 1,college_tier_Tier 2,college_tier_Tier 3,country_Canada,country_Germany,country_India,country_UK,country_USA,university_ranking_band_100-300,university_ranking_band_300+,university_ranking_band_Top 100,specialization_AI/ML,specialization_Cloud,specialization_Core CS,specialization_Cybersecurity,specialization_Data Science,industry_Consulting,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Other,industry_Tech
0.5189556807976128,-0.2101722934103157,0.7179502926957327,-1.109854073872324,-0.06813247634801797,0.3204044817191153,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.13728591581701816,-1.0999210217288486,-0.3098487017519182,-0.6265146407036033,1.579202824219899,-0.2569947923181998,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6749856545316817,-1.0999210217288486,0.7179502926957327,-0.36281689900838177,0.29420844209496905,0.14947307158694503,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.5796390033292786,-1.0999210217288486,1.7457492871433835,0.24140836931856002,0.8879884616267577,0.09737678925888217,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.2363690022392806,-1.0999210217288486,-0.3098487017519182,0.2016552773394971,0.4720574478463162,-1.408605120474795,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.6377033271419883,-0.2101722934103157,0.7179502926957327,-0.5415249873267757,0.4539662322609352,-1.1053701542883603,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7987417147103166,0.6795764349082173,-0.3098487017519182,-1.3494584863478432,0.23245640773484963,-0.5750206343305583,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.47958703440086725,-1.0999210217288486,1.7457492871433835,0.015317195430482742,0.8800052035939503,0.01336567039827926,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5663367859271521,1.5693251632267504,0.7179502926957327,1.347792501364041,-0.4964738303421871,-1.2602469794874644,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4733275237777392,-0.2101722934103157,0.7179502926957327,-0.3849647421680694,0.5388859776651186,-0.15327704601611164,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
